Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
573,"573.5778","Klebsiella pneumoniae strain 20_GR_12","ciprofloxacin","Resistant",">16",">","16","mg/L","Broth dilution",,,,"CLSI",2016,,,,"Laboratory Method",,"29431605"
624,"624.1977","Shigella sonnei strain 206717","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
1773,"1773.18394","Mycobacterium tuberculosis ERR1034600","ciprofloxacin","Resistant",,,,,,,,,"WHO: Guidelines for Surveillance of Drug Resistance in Tuberculosis",2009,,,,"Laboratory Method",,"29358649"
573,"573.62709","Klebsiella pneumoniae MGL_K_15","ciprofloxacin","Resistant","18",,"18","mm","Disk diffusion",,,,,,,,,"Laboratory Method",,"37549252"
573,"573.13648","Klebsiella pneumoniae KPN1752ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
562,"562.57475","Escherichia coli strain PB100","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
485,"485.18870","Neisseria gonorrhoeae NGPT14076","ciprofloxacin","Resistant",,,,,,,,,"EUCAST",2019,,,,"Laboratory Method",,"33245688"
470,"470.2253","Acinetobacter baumannii strain CCF16","ciprofloxacin","Resistant",,">=","4","mg/L",,,,,,,,,,"Laboratory Method",,
562,"562.96834","Escherichia coli VREC0956","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
573,"573.24373","Klebsiella pneumoniae strain MUGSI_190","ciprofloxacin","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.67382","Klebsiella pneumoniae MGL_76","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"BD","CLSI, EUCAST",2021,,,,"Laboratory Method",,"37549252"
573,"573.13441","Klebsiella pneumoniae KPN1507ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13902","Klebsiella pneumoniae KPN207ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14232","Klebsiella pneumoniae KPN554ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14356","Klebsiella pneumoniae KPN733ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.24394","Klebsiella pneumoniae strain MUGSI_310","ciprofloxacin","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
1280,"1280.51825","Staphylococcus aureus 08-02376","ciprofloxacin","Resistant",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
573,"573.31072","Klebsiella pneumoniae strain PH44","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2015,,,,"Laboratory Method",,"27965630"
