Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.98128","Escherichia coli 0d849b94-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
48296,"48296.156","Acinetobacter pittii strain St-12828-92","ciprofloxacin","Susceptible","==0.5","=","0.5","mg/L","Broth dilution",,,,"EUCAST",,,,,"Laboratory Method",,
485,"485.13135","Neisseria gonorrhoeae AUSMDU00011655","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
28901,"28901.8523","Salmonella enterica strain CVM N30674","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","Broth dilution",,,"Trek Diagnostic Systems","CLSI",,,,,"Laboratory Method",,
562,"562.100582","Escherichia coli 597d8bdc-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
28901,"28901.22904","Salmonella enterica AUSMDU00012893","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
28901,"28901.9042","Salmonella enterica strain CVM N53033","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","Broth dilution",,,"Trek Diagnostic Systems","CLSI",,,,,"Laboratory Method",,
562,"562.96538","Escherichia coli VREC0733","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
487,"487.4583","Neisseria meningitidis NIID610","ciprofloxacin","Susceptible","0.003",,"0.003","mg/L","MIC",,,"BioMerieux","CLSI",2020,,,,"Laboratory Method",,"37874301"
90370,"90370.5354","Salmonella enterica subsp. enterica serovar Typhi MB2900","ciprofloxacin","Susceptible","32",,"32","mm","Disk diffusion",,,,"CLSI",2015,,,,"Laboratory Method",,"34515028"
573,"573.15571","Klebsiella pneumoniae strain KSB2_3A","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"28369261"
562,"562.22760","Escherichia coli NA:H14 strain ECO0351","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
